Rank,Title,URL,View Count,Upload Date,Duration (s),Success Factor
21,음악방송 PD들이 '벼르고 있는' 아이돌들,https://www.youtube.com/shorts/bPuIf17vAkY,2803254,2025-10-30,33,기획사/업계 내부 이야기
22,에스파 때문에 힘들어진 SM 연습생들,https://www.youtube.com/shorts/YN3n33-ZejY,2753050,2025-05-01,39,기획사/업계 내부 이야기
23,성형외과 수준이라는 '이사배 아이돌 메이크업',https://www.youtube.com/shorts/XwDojZVWRf0,2736251,2025-09-16,27,특정 인물(아이돌)의 비하인드/반응
24,충격적인 카리나 협박 사건,https://www.youtube.com/shorts/do3Ms6RZU5g,2603991,2025-04-01,42,특정 인물(아이돌)의 비하인드/반응
25,일반인이 노력해도 아이돌처럼 안 되는 이유,https://www.youtube.com/shorts/uqDIFG2Kevg,2563426,2025-04-17,29,아이돌의 특이한 행동/일상
26,충격적인 QWER 일본 현지 반응,https://www.youtube.com/shorts/rHy_tkTmuO4,2461205,2025-04-13,35,특정 인물(아이돌)의 비하인드/반응
27,4대 기획사 과거vs현재 건물 비교,https://www.youtube.com/shorts/XY2VPFSUVQ4,2452117,2025-03-16,19,기획사/업계 내부 이야기
28,성형으로 절대 '만들 수 없는' 여돌 얼굴,https://www.youtube.com/shorts/CrYVF3UY5sk,2448756,2026-01-10,29,특정 인물(아이돌)의 비하인드/반응
29,JYP가 설윤에게만 내린 특이한 금지사항,https://www.youtube.com/shorts/A9LrZhlnw1A,2423417,2025-07-20,43,기획사/업계 내부 이야기
30,전소연보다 많이 번 '아이들 멤버',https://www.youtube.com/shorts/aocSmW6lu2s,2420757,2025-06-18,30,특정 인물(아이돌)의 비하인드/반응
31,아이돌 순간포착 레전드 모음,https://www.youtube.com/shorts/qYyFtsoDAA4,2312095,2025-03-05,37,특정 인물(아이돌)의 비하인드/반응
32,전소연이 큐브 1인자인 이유,https://www.youtube.com/shorts/qhBjyqn7xzc,2298945,2025-03-18,47,아이돌의 특이한 행동/일상
33,아이돌들이 제니랑 챌린지 안 찍는 이유,https://www.youtube.com/shorts/1_8YYtY5Tbc,2277914,2025-03-27,34,아이돌의 특이한 행동/일상
34,반말하는 초딩팬을 본 아이돌 대처법,https://www.youtube.com/shorts/PCL1PGntya4,2244121,2025-03-16,55,특정 인물(아이돌)의 비하인드/반응
35,데뷔 후 애니가 가장 많이 들었던 '질문',https://www.youtube.com/shorts/C0VX4s8hELg,2236204,2025-09-06,18,특정 인물(아이돌)의 비하인드/반응
36,신세계 손녀 아이돌을 본 '기자들의 반응',https://www.youtube.com/shorts/iItmXHhR63o,2196109,2025-07-22,25,특정 인물(아이돌)의 비하인드/반응
37,올데프 베일리가 14살에 만든 안무들,https://www.youtube.com/shorts/Y7cckGEVdsU,2124577,2025-11-21,26,특정 인물(아이돌)의 비하인드/반응
38,히트곡 제조기라는 일반인의 정체,https://www.youtube.com/shorts/iRRMmmktKmY,2107680,2025-04-11,38,특정 인물(아이돌)의 비하인드/반응
39,QWER만 할 수 있다는 악플 대처법,https://www.youtube.com/shorts/LdFNWNEOvTY,2076423,2025-04-18,35,특정 인물(아이돌)의 비하인드/반응
40,요즘 여자아이돌 사이에서 도는 '병',https://www.youtube.com/shorts/VC7qLFh3o30,2060852,2025-03-09,35,특정 인물(아이돌)의 비하인드/반응
41,아이돌이 알려주는 얼굴 '홀쭉해지는 방법',https://www.youtube.com/shorts/LHSBxNOAGEk,2048880,2025-06-02,31,아이돌의 특이한 행동/일상
42,연예인이 일반인 이해 못하는 이유,https://www.youtube.com/shorts/ohm0dYjeKOc,2019438,2025-09-24,40,아이돌의 특이한 행동/일상
43,에이티즈 최산이 '북부대공' 된 이유,https://www.youtube.com/shorts/OhJpGu1ALSs,2006334,2025-06-17,31,아이돌의 특이한 행동/일상
44,중소돌이 인생역전하면 이렇게 된다고?,https://www.youtube.com/shorts/xkOtysfnFu0,1923154,2026-01-01,28,특정 인물(아이돌)의 비하인드/반응
45,실수로 공개된 '아이돌 행사 출연료',https://www.youtube.com/shorts/-7tRcXJDxL8,1919899,2025-11-03,37,특정 인물(아이돌)의 비하인드/반응
46,광고마저 다른 카리나vs장원영 차이,https://www.youtube.com/shorts/5FZY8IaG7S4,1876730,2025-06-07,27,특정 인물(아이돌)의 비하인드/반응
47,스타일리스트가 싸워서 성공한 코디,https://www.youtube.com/shorts/WbUUPo8WjpY,1870370,2025-03-02,37,특정 인물(아이돌)의 비하인드/반응
48,아이돌이 프라다 모델하면 안 되는 이유,https://www.youtube.com/shorts/D08CJR-VUwo,1843369,2025-09-11,23,아이돌의 특이한 행동/일상
49,야구팀에서 가장 좋아하는 여자 아이돌,https://www.youtube.com/shorts/LPsmGIefIVo,1823082,2025-05-31,18,특정 인물(아이돌)의 비하인드/반응
50,아이돌이 정체 숨기고 다니는 방법,https://www.youtube.com/shorts/WJscfwKQ5F4,1778718,2025-03-04,50,아이돌의 특이한 행동/일상
